Date, Close/Last, Volume, Open, High, Low
03/11/2020, 18.96, 35300240, 17.88, 19.56, 17.66
03/10/2020, 16.56, 40324440, 17.35, 19.71, 16.5541
03/09/2020, 19.49, 32923240, 19.21, 19.639, 17.91
03/06/2020, 15.79, 43652520, 16.45, 16.87, 15.6
03/05/2020, 15.04, 26891450, 14.78, 15.37, 14.251
03/04/2020, 13.67, 31393260, 14.75, 15.17, 13.66
03/03/2020, 15.66, 39188140, 14.37, 16.03, 13.75
03/02/2020, 14.42, 37987550, 16.26, 16.9, 14.41
02/28/2020, 16.63, 53508240, 17.84, 18.37, 16.5
02/27/2020, 16.37, 54664620, 15.29, 16.37, 14.69
02/26/2020, 14.4, 37512660, 14.04, 14.53, 13.51
02/25/2020, 14.26, 49009690, 12.89, 14.38, 12.8
02/24/2020, 13.07, 34661780, 12.98, 13.19, 12.7
02/21/2020, 11.88, 16756100, 11.69, 11.97, 11.6463
02/20/2020, 11.53, 16069750, 11.44, 11.85, 11.35
02/19/2020, 11.37, 6850804, 11.43, 11.465, 11.3
02/18/2020, 11.55, 12626500, 11.56, 11.7, 11.5
02/14/2020, 11.45, 8156811, 11.47, 11.5945, 11.44
02/13/2020, 11.51, 15326360, 11.63, 11.66, 11.39
02/12/2020, 11.46, 9973725, 11.53, 11.565, 11.44
02/11/2020, 11.69, 11203170, 11.59, 11.75, 11.5
02/10/2020, 11.76, 7497899, 12.13, 12.13, 11.75
02/07/2020, 12, 12442220, 11.95, 12.08, 11.86
02/06/2020, 11.82, 9558762, 11.82, 11.95, 11.8
02/05/2020, 11.95, 16420390, 12, 12.1899, 11.91
02/04/2020, 12.35, 14469910, 12.49, 12.53, 12.25
02/03/2020, 12.96, 13953710, 13.06, 13.0652, 12.71
01/31/2020, 13.25, 21981160, 12.65, 13.355, 12.6212
01/30/2020, 12.56, 19341090, 12.96, 13.045, 12.53
01/29/2020, 12.67, 9070507, 12.47, 12.705, 12.45
01/28/2020, 12.64, 11127320, 12.86, 12.93, 12.53
01/27/2020, 13.05, 17918230, 13.11, 13.15, 12.87
01/24/2020, 12.47, 17362770, 12.04, 12.61, 12.04
01/23/2020, 12.13, 8014989, 12.25, 12.385, 12.1
01/22/2020, 12.16, 6088466, 12.07, 12.18, 11.99
01/21/2020, 12.17, 7313682, 12.22, 12.22, 12.07
01/17/2020, 12.1, 6217763, 12.12, 12.2, 12.07
01/16/2020, 12.2, 8280548, 12.34, 12.375, 12.2
01/15/2020, 12.52, 9870065, 12.62, 12.62, 12.42
01/14/2020, 12.6, 8077317, 12.59, 12.667, 12.47
01/13/2020, 12.54, 5379035, 12.71, 12.7783, 12.53
01/10/2020, 12.8, 8435047, 12.6, 12.86, 12.59
01/09/2020, 12.68, 7970937, 12.75, 12.82, 12.68
01/08/2020, 12.94, 9366692, 13.13, 13.1699, 12.78
01/07/2020, 13.15, 6614693, 13.12, 13.21, 13.055
01/06/2020, 13.05, 7628730, 13.44, 13.44, 13.03
01/03/2020, 13.18, 12567100, 13.35, 13.35, 13.0465
01/02/2020, 12.89, 6952366, 13.04, 13.1799, 12.89
12/31/2019, 13.25, 7845204, 13.43, 13.47, 13.215
12/30/2019, 13.36, 9178735, 13.13, 13.42, 13.11
12/27/2019, 13.13, 4913556, 13.03, 13.205, 13.02
12/26/2019, 13.12, 3060754, 13.28, 13.28, 13.12
12/24/2019, 13.33, 2020867, 13.29, 13.37, 13.29
12/23/2019, 13.32, 3220788, 13.26, 13.34, 13.26
12/20/2019, 13.4, 5394563, 13.46, 13.46, 13.33
12/19/2019, 13.6, 4735585, 13.75, 13.75, 13.58
12/18/2019, 13.75, 3265111, 13.71, 13.76, 13.67
12/17/2019, 13.75, 3768466, 13.7, 13.76, 13.67
12/16/2019, 13.75, 5071098, 13.8, 13.81, 13.67
12/13/2019, 14.05, 9454906, 14.11, 14.23, 13.87
12/12/2019, 14.07, 14045410, 14.45, 14.4878, 13.96
12/11/2019, 14.44, 3261357, 14.5, 14.56, 14.4
12/10/2019, 14.55, 6597198, 14.53, 14.67, 14.4237
12/09/2019, 14.51, 5316410, 14.44, 14.52, 14.33
12/06/2019, 14.39, 6503676, 14.49, 14.49, 14.32
12/05/2019, 14.77, 6750488, 14.75, 14.99, 14.75
12/04/2019, 14.85, 5703955, 14.97, 15.02, 14.76
12/03/2019, 15.14, 13742740, 15.28, 15.4893, 15.13
12/02/2019, 14.84, 9363126, 14.42, 14.9, 14.42
11/29/2019, 14.46, 2989550, 14.4, 14.5, 14.35
11/27/2019, 14.31, 5144197, 14.4, 14.4599, 14.3
11/26/2019, 14.5, 5114822, 14.57, 14.63, 14.46
11/25/2019, 14.59, 5801998, 14.79, 14.79, 14.59
11/22/2019, 14.94, 4961131, 14.92, 15.09, 14.89
11/21/2019, 15.01, 5807438, 14.94, 15.15, 14.92
11/20/2019, 14.95, 9734016, 14.88, 15.19, 14.8
11/19/2019, 14.79, 5383717, 14.68, 14.88, 14.671
11/18/2019, 14.78, 4669349, 14.84, 14.9, 14.73
11/15/2019, 14.79, 5996993, 14.92, 15.02, 14.79
11/14/2019, 15.13, 3582797, 15.24, 15.3354, 15.1
11/13/2019, 15.19, 9273555, 15.36, 15.39, 15.1137
11/12/2019, 15.2, 7707230, 15.23, 15.32, 15.04
11/11/2019, 15.28, 3237131, 15.41, 15.44, 15.25
11/08/2019, 15.2, 5338397, 15.36, 15.48, 15.19
11/07/2019, 15.29, 8469652, 15.23, 15.38, 15.11
11/06/2019, 15.46, 5428799, 15.48, 15.62, 15.41
11/05/2019, 15.48, 6416970, 15.37, 15.52, 15.34
11/04/2019, 15.43, 4981828, 15.33, 15.48, 15.32
11/01/2019, 15.61, 7906255, 15.8, 15.8254, 15.6
10/31/2019, 16.05, 9711943, 15.92, 16.285, 15.9152
10/30/2019, 15.92, 7090534, 16.02, 16.245, 15.85
10/29/2019, 16.07, 5985476, 16.09, 16.11, 15.9
10/28/2019, 16.01, 5023325, 16.1, 16.1, 15.9505
10/25/2019, 16.29, 6987709, 16.62, 16.6227, 16.21
10/24/2019, 16.51, 4503897, 16.42, 16.66, 16.39
10/23/2019, 16.59, 3635599, 16.78, 16.8188, 16.57
10/22/2019, 16.72, 5161394, 16.46, 16.75, 16.42
10/21/2019, 16.54, 3500844, 16.65, 16.74, 16.5299
10/18/2019, 16.9, 5192175, 16.79, 17.069, 16.6601
10/17/2019, 16.69, 4128533, 16.61, 16.8, 16.51
10/16/2019, 16.81, 4112954, 16.81, 16.9, 16.69
10/15/2019, 16.73, 5739103, 17.05, 17.06, 16.6
10/14/2019, 17.25, 3721304, 17.26, 17.31, 17.121
10/11/2019, 17.18, 11288800, 17.19, 17.21, 16.74
10/10/2019, 17.7, 7856037, 18.12, 18.1489, 17.55
10/09/2019, 18.09, 7061876, 18.18, 18.3199, 17.88
10/08/2019, 18.62, 10868330, 18.17, 18.62, 18.01
10/07/2019, 17.78, 6635187, 17.71, 17.84, 17.4
10/04/2019, 17.57, 8051320, 18.14, 18.1642, 17.51
10/03/2019, 18.28, 18283440, 18.8, 19.381, 18.28
10/02/2019, 18.72, 12968970, 18.11, 19, 18.11
10/01/2019, 17.78, 9704125, 17.03, 17.83, 16.89
09/30/2019, 17.15, 5889149, 17.32, 17.33, 17.04
09/27/2019, 17.41, 7969054, 17.01, 17.72, 16.98
09/26/2019, 17.15, 5135588, 17.03, 17.41, 16.99
09/25/2019, 17.01, 5661162, 17.33, 17.6, 16.93
09/24/2019, 17.33, 10268330, 16.72, 17.52, 16.66
09/23/2019, 16.95, 4372290, 17.1, 17.15, 16.86
09/20/2019, 17.01, 5353772, 16.62, 17.11, 16.571
09/19/2019, 16.75, 5651251, 16.66, 16.8, 16.4663
09/18/2019, 16.71, 6012542, 16.83, 17.2, 16.69
09/17/2019, 16.75, 6465573, 16.92, 16.9388, 16.721
09/16/2019, 16.85, 6235426, 16.92, 16.99, 16.785
09/13/2019, 16.71, 4942737, 16.59, 16.78, 16.53
09/12/2019, 16.66, 10506420, 16.69, 16.815, 16.47
09/11/2019, 16.82, 7520998, 17.14, 17.26, 16.82
09/10/2019, 17.18, 6314946, 17.32, 17.58, 17.18
09/09/2019, 17.18, 4099912, 17.01, 17.36, 17.01
09/06/2019, 17.19, 4535433, 17.18, 17.3176, 17.09
09/05/2019, 17.24, 7948648, 17.43, 17.455, 17.06
09/04/2019, 17.93, 5335596, 18.09, 18.25, 17.93
09/03/2019, 18.53, 7713384, 18.59, 18.83, 18.3937
08/30/2019, 18.24, 8136865, 17.9, 18.42, 17.9
08/29/2019, 18.19, 12279590, 18.37, 18.59, 18.09
08/28/2019, 18.95, 8011143, 19.49, 19.655, 18.88
08/27/2019, 19.31, 8686418, 18.8, 19.49, 18.7083
08/26/2019, 19.09, 8874406, 19.24, 19.595, 19.09
08/23/2019, 19.75, 19354920, 18.62, 20.01, 18.26
08/22/2019, 18.35, 7389325, 18.17, 18.6965, 18.03
08/21/2019, 18.29, 5519066, 18.29, 18.44, 18.22
08/20/2019, 18.77, 6670659, 18.46, 18.79, 18.34
08/19/2019, 18.36, 7145383, 18.35, 18.51, 18.19
08/16/2019, 19, 9033256, 19.52, 19.52, 18.92
08/15/2019, 19.88, 15237790, 19.84, 20.369, 19.68
08/14/2019, 20.02, 15686330, 19.26, 20.06, 19.1229
08/13/2019, 18.39, 12739230, 19.38, 19.45, 18.08
08/12/2019, 19.3, 8773616, 18.95, 19.49, 18.82
08/09/2019, 18.61, 10901160, 18.43, 18.97, 18.3
08/08/2019, 18.23, 12414370, 19.02, 19.15, 18.23
08/07/2019, 19.36, 14241950, 20.07, 20.55, 19.1804
08/06/2019, 19.38, 11358660, 19.78, 20.135, 19.34
08/05/2019, 20.17, 17605360, 19.41, 20.6273, 19.3904
08/02/2019, 18.51, 14807730, 18.32, 18.86, 18.27
08/01/2019, 18.12, 19209130, 17.65, 18.2816, 17.06
07/31/2019, 17.66, 9546566, 17.05, 18.04, 17.0135
07/30/2019, 17.08, 3564892, 17.24, 17.3, 17.01
07/29/2019, 16.97, 2540677, 16.91, 17.07, 16.89
07/26/2019, 16.87, 4044429, 17.08, 17.1177, 16.84
07/25/2019, 17.21, 4901024, 17.04, 17.36, 17.04
07/24/2019, 16.98, 4311354, 17.34, 17.37, 16.97
07/23/2019, 17.21, 4956531, 17.35, 17.51, 17.2
07/22/2019, 17.55, 4693474, 17.63, 17.73, 17.4701
07/19/2019, 17.72, 6136280, 17.21, 17.74, 17.2
07/18/2019, 17.41, 6770833, 17.7, 17.78, 17.33
07/17/2019, 17.57, 4090431, 17.24, 17.57, 17.21
07/16/2019, 17.24, 4064900, 17.09, 17.29, 17.05
07/15/2019, 17.06, 2807055, 17.01, 17.16, 17
07/12/2019, 17.08, 4871597, 17.21, 17.27, 17.0601
07/11/2019, 17.3, 5337499, 17.3, 17.5, 17.259
07/10/2019, 17.41, 6421373, 17.459, 17.56, 17.24
07/09/2019, 17.66, 3340876, 17.97, 17.97, 17.61
07/08/2019, 17.73, 3624802, 17.7, 17.83, 17.64
07/05/2019, 17.45, 5813741, 17.62, 17.86, 17.41
07/03/2019, 17.37, 3649342, 17.65, 17.6829, 17.37
07/02/2019, 17.78, 3533783, 17.94, 18.09, 17.78
07/01/2019, 17.92, 7520892, 17.72, 18.16, 17.6707
06/28/2019, 18.38, 5762191, 18.5, 18.6, 18.3
06/27/2019, 18.68, 4659450, 18.73, 18.8, 18.58
06/26/2019, 18.88, 4171288, 18.64, 18.9082, 18.52
06/25/2019, 18.8, 8097033, 18.28, 18.85, 18.27
06/24/2019, 18.35, 2887210, 18.25, 18.385, 18.19
06/21/2019, 18.27, 5456565, 18.28, 18.33, 18.01
06/20/2019, 18.22, 7887485, 18.16, 18.625, 18.11
06/19/2019, 18.71, 4513841, 18.84, 19.03, 18.6167
06/18/2019, 18.87, 7052359, 19.06, 19.13, 18.62
06/17/2019, 19.45, 2109795, 19.43, 19.4901, 19.29
06/14/2019, 19.48, 4317149, 19.48, 19.65, 19.3402
06/13/2019, 19.38, 6347277, 19.42, 19.6, 19.32
06/12/2019, 19.64, 5942750, 19.6, 19.7565, 19.46
06/11/2019, 19.53, 7188934, 19.12, 19.6751, 19.03
06/10/2019, 19.53, 7427064, 19.43, 19.54, 19.1301
06/07/2019, 19.79, 9591483, 20.16, 20.1972, 19.527
06/06/2019, 20.38, 7292739, 20.7, 20.88, 20.23
06/05/2019, 20.78, 7464449, 20.92, 21.3899, 20.77
06/04/2019, 21.34, 11863870, 22.18, 22.31, 21.2979
06/03/2019, 22.81, 11122390, 22.62, 23.1801, 22.33
05/31/2019, 22.59, 9705715, 22.43, 22.64, 22.2
05/30/2019, 21.74, 10170000, 21.74, 22.0345, 21.51
05/29/2019, 21.89, 10518640, 21.79, 22.28, 21.6616
05/28/2019, 21.45, 6137848, 20.81, 21.47, 20.58
05/24/2019, 20.89, 6181345, 20.68, 21.04, 20.57
05/23/2019, 20.97, 12708320, 20.8, 21.35, 20.79
05/22/2019, 20.27, 4869103, 20.31, 20.3741, 20.04
05/21/2019, 20.1, 5682646, 20.24, 20.2884, 19.98
05/20/2019, 20.64, 8131807, 20.61, 20.8055, 20.32
05/17/2019, 20.23, 9878186, 20.37, 20.3701, 19.655
05/16/2019, 19.83, 9440397, 20.22, 20.23, 19.5
05/15/2019, 20.4, 10128750, 21.16, 21.2, 20.23
05/14/2019, 20.76, 8733659, 21.05, 21.09, 20.35
05/13/2019, 21.29, 15654520, 21, 21.5, 20.77
05/10/2019, 19.81, 12675800, 20.32, 21.0299, 19.64
05/09/2019, 20.07, 15568770, 20.41, 20.8, 19.9616
05/08/2019, 19.89, 10857130, 19.9, 20.0466, 19.52
05/07/2019, 19.82, 12667430, 19.4, 20.23, 19.25
05/06/2019, 18.86, 7313786, 19.56, 19.6084, 18.7701
05/03/2019, 18.63, 4822428, 18.88, 18.92, 18.57
05/02/2019, 19.18, 9543255, 19.11, 19.51, 18.89
05/01/2019, 19.04, 6221824, 18.49, 19.05, 18.46
04/30/2019, 18.63, 3868362, 18.73, 19.03, 18.57
04/29/2019, 18.67, 2854234, 18.72, 18.7399, 18.54
04/26/2019, 18.72, 3979761, 18.98, 19.1569, 18.72
04/25/2019, 19, 4149255, 18.98, 19.25, 18.85
04/24/2019, 18.94, 2643863, 18.85, 18.9799, 18.77
04/23/2019, 18.83, 4422630, 19.27, 19.31, 18.77
04/22/2019, 19.34, 3012401, 19.56, 19.58, 19.31
04/18/2019, 19.39, 5347360, 19.36, 19.66, 19.32
04/17/2019, 19.48, 4209200, 19.09, 19.58, 19.08
04/16/2019, 19.33, 3390469, 19.18, 19.46, 19.1699
04/15/2019, 19.36, 3135419, 19.3, 19.55, 19.29
04/12/2019, 19.32, 4244241, 19.35, 19.51, 19.26
04/11/2019, 19.7, 3668475, 19.59, 19.84, 19.59
04/10/2019, 19.69, 3952197, 19.79, 19.89, 19.67
04/09/2019, 19.88, 5758399, 19.82, 20.01, 19.73
04/08/2019, 19.57, 4435683, 19.74, 19.8701, 19.55
04/05/2019, 19.63, 5866073, 19.75, 19.82, 19.61
04/04/2019, 19.89, 4386672, 19.98, 20.1468, 19.84
04/03/2019, 20.02, 6389013, 19.86, 20.19, 19.769
04/02/2019, 20.13, 4011281, 20.14, 20.32, 20.09
04/01/2019, 20.15, 5157615, 20.41, 20.4799, 20.1
03/29/2019, 20.86, 7208075, 20.92, 21.21, 20.82
03/28/2019, 21.28, 7852247, 21.39, 21.68, 21.19
03/27/2019, 21.51, 10534320, 21.19, 21.9277, 21.05
03/26/2019, 21.22, 8256468, 21.23, 21.56, 20.9452
03/25/2019, 21.68, 12974500, 21.72, 22, 21.41
03/22/2019, 21.61, 13154110, 20.779, 21.63, 20.64
03/21/2019, 20.44, 7710435, 21.36, 21.36, 20.33
03/20/2019, 21.15, 9843703, 21.01, 21.42, 20.7
03/19/2019, 20.91, 7222845, 20.71, 21.16, 20.5
03/18/2019, 21, 4811881, 21.18, 21.25, 20.94
03/15/2019, 21.22, 6581956, 21.44, 21.46, 21.04
03/14/2019, 21.53, 5938572, 21.51, 21.66, 21.3916
03/13/2019, 21.5, 5902272, 21.7, 21.74, 21.25
03/12/2019, 21.93, 4714194, 22.02, 22.07, 21.79
03/11/2019, 22.15, 5603908, 22.98, 22.99, 22.13
03/08/2019, 23.16, 8843186, 23.59, 23.7, 23.14
03/07/2019, 23.02, 11983160, 22.61, 23.27, 22.5664
03/06/2019, 22.47, 5337771, 22.03, 22.55, 22.02
03/05/2019, 22.04, 4231423, 21.95, 22.2, 21.88
03/04/2019, 21.97, 8375344, 21.44, 22.55, 21.38
03/01/2019, 21.69, 4176066, 21.7, 22.0999, 21.61
02/28/2019, 22.16, 4540473, 22.06, 22.2, 21.9399
02/27/2019, 22, 5828227, 22.14, 22.3955, 21.89
02/26/2019, 21.96, 4994425, 22, 22.0499, 21.72
02/25/2019, 21.89, 5284336, 21.63, 21.92, 21.48
02/22/2019, 22, 5151524, 22.24, 22.3, 21.93
02/21/2019, 22.38, 5503668, 22.31, 22.645, 22.23
02/20/2019, 22.13, 4833123, 22.29, 22.43, 22.0301
02/19/2019, 22.29, 3575020, 22.6, 22.6, 22.1001
02/15/2019, 22.39, 5367447, 22.65, 22.7001, 22.38
02/14/2019, 23.1, 9453587, 23.29, 23.51, 22.82
02/13/2019, 22.97, 4286463, 22.97, 23.08, 22.72
02/12/2019, 23.2, 5080645, 23.63, 23.65, 23.07
02/11/2019, 24.1, 4030846, 23.96, 24.26, 23.8845
02/08/2019, 24.13, 6243295, 24.63, 24.85, 24.12
02/07/2019, 24.22, 10412570, 24.04, 24.7, 23.85
02/06/2019, 23.53, 4336160, 23.54, 23.75, 23.4
02/05/2019, 23.44, 4926032, 23.63, 23.76, 23.36
02/04/2019, 23.74, 3767229, 24.24, 24.4398, 23.73
02/01/2019, 24.24, 4449144, 24.23, 24.47, 23.93
01/31/2019, 24.27, 5178258, 24.95, 25, 24.13
01/30/2019, 24.88, 7351724, 25.64, 25.9, 24.63
01/29/2019, 26.14, 3693060, 26.02, 26.43, 25.83
01/28/2019, 26.05, 5537385, 26.15, 26.61, 26.02
01/25/2019, 25.45, 4799987, 25.49, 25.63, 25.19
01/24/2019, 26.07, 4962817, 26.21, 26.5355, 25.91
01/23/2019, 26.15, 7310804, 25.94, 26.95, 25.72
